//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3143.30000002328
PositionY = 9653.70000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
 4.91150E+02	 1.64400E+03
 4.93939E+02	 1.64906E+03
 4.96727E+02	 1.65814E+03
 4.99514E+02	 1.66060E+03
 5.02300E+02	 1.65988E+03
 5.05085E+02	 1.67518E+03
 5.07869E+02	 1.67698E+03
 5.10652E+02	 1.67658E+03
 5.13435E+02	 1.69042E+03
 5.16216E+02	 1.69664E+03
 5.18996E+02	 1.69968E+03
 5.21776E+02	 1.70590E+03
 5.24554E+02	 1.70340E+03
 5.27332E+02	 1.70328E+03
 5.30109E+02	 1.70462E+03
 5.32885E+02	 1.70886E+03
 5.35659E+02	 1.70520E+03
 5.38433E+02	 1.69966E+03
 5.41206E+02	 1.70582E+03
 5.43978E+02	 1.70082E+03
 5.46750E+02	 1.70220E+03
 5.49520E+02	 1.69856E+03
 5.52289E+02	 1.69530E+03
 5.55057E+02	 1.68812E+03
 5.57825E+02	 1.69138E+03
 5.60591E+02	 1.68634E+03
 5.63357E+02	 1.69118E+03
 5.66122E+02	 1.68548E+03
 5.68885E+02	 1.67732E+03
 5.71648E+02	 1.68000E+03
 5.74410E+02	 1.67474E+03
 5.77171E+02	 1.66850E+03
 5.79931E+02	 1.66352E+03
 5.82690E+02	 1.65702E+03
 5.85448E+02	 1.65218E+03
 5.88206E+02	 1.65142E+03
 5.90962E+02	 1.64122E+03
 5.93717E+02	 1.63432E+03
 5.96472E+02	 1.63642E+03
 5.99225E+02	 1.62620E+03
 6.01978E+02	 1.62274E+03
 6.04730E+02	 1.61528E+03
