//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3511.70000002328
PositionY = 9787.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
 4.91150E+02	 3.41220E+03
 4.93939E+02	 3.43652E+03
 4.96727E+02	 3.49606E+03
 4.99514E+02	 3.52482E+03
 5.02300E+02	 3.58820E+03
 5.05085E+02	 3.65144E+03
 5.07869E+02	 3.74104E+03
 5.10652E+02	 3.85346E+03
 5.13435E+02	 4.02584E+03
 5.16216E+02	 4.18568E+03
 5.18996E+02	 4.30328E+03
 5.21776E+02	 4.34536E+03
 5.24554E+02	 4.32128E+03
 5.27332E+02	 4.25516E+03
 5.30109E+02	 4.19324E+03
 5.32885E+02	 4.13258E+03
 5.35659E+02	 4.07536E+03
 5.38433E+02	 4.02258E+03
 5.41206E+02	 3.99514E+03
 5.43978E+02	 3.97410E+03
 5.46750E+02	 3.95014E+03
 5.49520E+02	 3.91414E+03
 5.52289E+02	 3.87388E+03
 5.55057E+02	 3.84668E+03
 5.57825E+02	 3.84108E+03
 5.60591E+02	 3.82704E+03
 5.63357E+02	 3.82118E+03
 5.66122E+02	 3.80052E+03
 5.68885E+02	 3.78804E+03
 5.71648E+02	 3.76736E+03
 5.74410E+02	 3.74984E+03
 5.77171E+02	 3.68742E+03
 5.79931E+02	 3.64712E+03
 5.82690E+02	 3.58720E+03
 5.85448E+02	 3.53156E+03
 5.88206E+02	 3.46924E+03
 5.90962E+02	 3.40064E+03
 5.93717E+02	 3.35282E+03
 5.96472E+02	 3.30550E+03
 5.99225E+02	 3.23382E+03
 6.01978E+02	 3.20308E+03
 6.04730E+02	 3.15252E+03
 6.07481E+02	 3.11176E+03
 6.10231E+02	 3.07386E+03
 6.12980E+02	 3.03164E+03
 6.15728E+02	 3.02192E+03
 6.18475E+02	 3.00392E+03
 6.21221E+02	 2.98410E+03
 6.23967E+02	 2.96114E+03
 6.26711E+02	 2.94576E+03
 6.29454E+02	 2.91372E+03
 6.32197E+02	 2.91406E+03
 6.34939E+02	 2.91304E+03
 6.37680E+02	 2.90406E+03
 6.40419E+02	 2.90952E+03
 6.43158E+02	 2.91104E+03
 6.45896E+02	 2.93318E+03
 6.48634E+02	 2.93050E+03
 6.51370E+02	 2.95778E+03
 6.54105E+02	 2.97102E+03
 6.56840E+02	 2.99348E+03
 6.59573E+02	 3.03932E+03
 6.62306E+02	 3.05450E+03
 6.65037E+02	 3.07520E+03
 6.67768E+02	 3.04554E+03
 6.70498E+02	 3.03842E+03
 6.73227E+02	 2.98486E+03
 6.75955E+02	 2.96560E+03
 6.78682E+02	 2.94106E+03
 6.81409E+02	 2.93196E+03
 6.84134E+02	 2.93216E+03
 6.86858E+02	 2.94828E+03
 6.89582E+02	 2.94104E+03
 6.92305E+02	 2.95338E+03
 6.95026E+02	 2.96674E+03
 6.97747E+02	 2.98182E+03
 7.00467E+02	 3.00414E+03
 7.03186E+02	 3.02378E+03
 7.05905E+02	 3.05742E+03
 7.08622E+02	 3.09746E+03
 7.11338E+02	 3.12426E+03
 7.14054E+02	 3.16060E+03
 7.16768E+02	 3.16658E+03
 7.19482E+02	 3.20526E+03
 7.22195E+02	 3.22194E+03
 7.24907E+02	 3.23466E+03
 7.27618E+02	 3.25078E+03
 7.30328E+02	 3.27486E+03
 7.33037E+02	 3.29430E+03
 7.35745E+02	 3.31118E+03
 7.38453E+02	 3.33754E+03
 7.41159E+02	 3.35262E+03
 7.43865E+02	 3.39668E+03
 7.46569E+02	 3.42464E+03
 7.49273E+02	 3.46622E+03
 7.51976E+02	 3.49032E+03
 7.54678E+02	 3.53198E+03
 7.57379E+02	 3.57540E+03
 7.60080E+02	 3.61274E+03
 7.62779E+02	 3.68426E+03
 7.65478E+02	 3.76636E+03
 7.68175E+02	 3.82422E+03
 7.70872E+02	 3.82526E+03
 7.73568E+02	 3.78832E+03
 7.76263E+02	 3.77396E+03
 7.78957E+02	 3.80974E+03
 7.81650E+02	 3.88216E+03
 7.84342E+02	 4.01142E+03
 7.87034E+02	 4.19686E+03
 7.89724E+02	 4.29530E+03
 7.92414E+02	 4.18034E+03
 7.95103E+02	 4.01206E+03
 7.97791E+02	 3.85420E+03
 8.00478E+02	 3.71820E+03
 8.03164E+02	 3.58202E+03
 8.05849E+02	 3.46578E+03
 8.08533E+02	 3.37926E+03
 8.11217E+02	 3.33402E+03
 8.13899E+02	 3.29246E+03
 8.16581E+02	 3.26078E+03
 8.19262E+02	 3.23850E+03
 8.21942E+02	 3.23130E+03
 8.24621E+02	 3.22674E+03
 8.27299E+02	 3.26166E+03
 8.29977E+02	 3.27152E+03
 8.32653E+02	 3.31072E+03
 8.35329E+02	 3.30036E+03
 8.38003E+02	 3.31678E+03
 8.40677E+02	 3.33926E+03
 8.43350E+02	 3.34706E+03
 8.46022E+02	 3.35134E+03
 8.48693E+02	 3.35934E+03
 8.51364E+02	 3.36260E+03
 8.54033E+02	 3.37072E+03
 8.56702E+02	 3.36588E+03
 8.59370E+02	 3.37164E+03
 8.62036E+02	 3.37734E+03
 8.64702E+02	 3.37724E+03
 8.67367E+02	 3.38548E+03
 8.70032E+02	 3.37052E+03
 8.72695E+02	 3.35642E+03
 8.75358E+02	 3.35774E+03
 8.78019E+02	 3.33628E+03
 8.80680E+02	 3.34422E+03
 8.83340E+02	 3.33152E+03
 8.85999E+02	 3.34158E+03
 8.88657E+02	 3.33930E+03
 8.91314E+02	 3.34130E+03
 8.93971E+02	 3.34522E+03
 8.96626E+02	 3.33924E+03
 8.99281E+02	 3.33658E+03
 9.01935E+02	 3.34732E+03
 9.04588E+02	 3.35018E+03
