//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1200 s--Spectrum--036--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1200 s--Spectrum--036--Spec.Data 1
 4.91150E+02	 1.49890E+03
 4.93939E+02	 1.49582E+03
 4.96727E+02	 1.49164E+03
 4.99514E+02	 1.48976E+03
 5.02300E+02	 1.48462E+03
 5.05085E+02	 1.48374E+03
 5.07869E+02	 1.48134E+03
 5.10652E+02	 1.48068E+03
 5.13435E+02	 1.47718E+03
 5.16216E+02	 1.47642E+03
 5.18996E+02	 1.47698E+03
 5.21776E+02	 1.47668E+03
 5.24554E+02	 1.47342E+03
 5.27332E+02	 1.47478E+03
 5.30109E+02	 1.47274E+03
 5.32885E+02	 1.47310E+03
 5.35659E+02	 1.47062E+03
 5.38433E+02	 1.47194E+03
 5.41206E+02	 1.46972E+03
 5.43978E+02	 1.47080E+03
 5.46750E+02	 1.46560E+03
 5.49520E+02	 1.46922E+03
 5.52289E+02	 1.46800E+03
 5.55057E+02	 1.46968E+03
 5.57825E+02	 1.46578E+03
 5.60591E+02	 1.46756E+03
 5.63357E+02	 1.46548E+03
 5.66122E+02	 1.46442E+03
 5.68885E+02	 1.46530E+03
 5.71648E+02	 1.46346E+03
 5.74410E+02	 1.46338E+03
 5.77171E+02	 1.46380E+03
 5.79931E+02	 1.46320E+03
 5.82690E+02	 1.46138E+03
 5.85448E+02	 1.46120E+03
 5.88206E+02	 1.46228E+03
 5.90962E+02	 1.46106E+03
 5.93717E+02	 1.46002E+03
 5.96472E+02	 1.46092E+03
 5.99225E+02	 1.46032E+03
 6.01978E+02	 1.45904E+03
 6.04730E+02	 1.45858E+03
 6.07481E+02	 1.45652E+03
 6.10231E+02	 1.45774E+03
 6.12980E+02	 1.46062E+03
 6.15728E+02	 1.45916E+03
 6.18475E+02	 1.45882E+03
 6.21221E+02	 1.45970E+03
 6.23967E+02	 1.45858E+03
 6.26711E+02	 1.45768E+03
 6.29454E+02	 1.45954E+03
 6.32197E+02	 1.46102E+03
 6.34939E+02	 1.46152E+03
 6.37680E+02	 1.46034E+03
 6.40419E+02	 1.46108E+03
 6.43158E+02	 1.46122E+03
 6.45896E+02	 1.46404E+03
 6.48634E+02	 1.46194E+03
 6.51370E+02	 1.45710E+03
 6.54105E+02	 1.45904E+03
 6.56840E+02	 1.46340E+03
 6.59573E+02	 1.46030E+03
 6.62306E+02	 1.45976E+03
 6.65037E+02	 1.46162E+03
 6.67768E+02	 1.46196E+03
 6.70498E+02	 1.45846E+03
 6.73227E+02	 1.45980E+03
 6.75955E+02	 1.46076E+03
 6.78682E+02	 1.45994E+03
 6.81409E+02	 1.46062E+03
 6.84134E+02	 1.46366E+03
 6.86858E+02	 1.46488E+03
 6.89582E+02	 1.46428E+03
 6.92305E+02	 1.46406E+03
 6.95026E+02	 1.46596E+03
 6.97747E+02	 1.46718E+03
 7.00467E+02	 1.46478E+03
 7.03186E+02	 1.46902E+03
 7.05905E+02	 1.46986E+03
 7.08622E+02	 1.46684E+03
