//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5691.30000002328
PositionY = 10021.5000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
 4.91150E+02	 1.42560E+03
 4.93939E+02	 1.43032E+03
 4.96727E+02	 1.43186E+03
 4.99514E+02	 1.43314E+03
 5.02300E+02	 1.43058E+03
 5.05085E+02	 1.43304E+03
 5.07869E+02	 1.43002E+03
 5.10652E+02	 1.43228E+03
 5.13435E+02	 1.42996E+03
 5.16216E+02	 1.43356E+03
 5.18996E+02	 1.43260E+03
 5.21776E+02	 1.43292E+03
 5.24554E+02	 1.43258E+03
 5.27332E+02	 1.43434E+03
 5.30109E+02	 1.43284E+03
 5.32885E+02	 1.43378E+03
 5.35659E+02	 1.43064E+03
 5.38433E+02	 1.43224E+03
 5.41206E+02	 1.43190E+03
 5.43978E+02	 1.43030E+03
 5.46750E+02	 1.43010E+03
 5.49520E+02	 1.43090E+03
 5.52289E+02	 1.42814E+03
 5.55057E+02	 1.42824E+03
 5.57825E+02	 1.42622E+03
 5.60591E+02	 1.42512E+03
 5.63357E+02	 1.42554E+03
 5.66122E+02	 1.42234E+03
 5.68885E+02	 1.42522E+03
 5.71648E+02	 1.42228E+03
 5.74410E+02	 1.42218E+03
 5.77171E+02	 1.42106E+03
 5.79931E+02	 1.41622E+03
 5.82690E+02	 1.41752E+03
 5.85448E+02	 1.41794E+03
 5.88206E+02	 1.41768E+03
 5.90962E+02	 1.41726E+03
 5.93717E+02	 1.41762E+03
 5.96472E+02	 1.41210E+03
 5.99225E+02	 1.41352E+03
 6.01978E+02	 1.41334E+03
 6.04730E+02	 1.41342E+03
 6.07481E+02	 1.41474E+03
 6.10231E+02	 1.41226E+03
 6.12980E+02	 1.41284E+03
 6.15728E+02	 1.40956E+03
 6.18475E+02	 1.41020E+03
 6.21221E+02	 1.41032E+03
 6.23967E+02	 1.40946E+03
 6.26711E+02	 1.40992E+03
 6.29454E+02	 1.41376E+03
 6.32197E+02	 1.41294E+03
 6.34939E+02	 1.41072E+03
 6.37680E+02	 1.41288E+03
 6.40419E+02	 1.41288E+03
 6.43158E+02	 1.41404E+03
 6.45896E+02	 1.41592E+03
 6.48634E+02	 1.41560E+03
 6.51370E+02	 1.41542E+03
 6.54105E+02	 1.41574E+03
 6.56840E+02	 1.41382E+03
 6.59573E+02	 1.41352E+03
 6.62306E+02	 1.41036E+03
 6.65037E+02	 1.41296E+03
 6.67768E+02	 1.40982E+03
 6.70498E+02	 1.41144E+03
 6.73227E+02	 1.41158E+03
 6.75955E+02	 1.41228E+03
 6.78682E+02	 1.41332E+03
 6.81409E+02	 1.41164E+03
 6.84134E+02	 1.41148E+03
 6.86858E+02	 1.41292E+03
 6.89582E+02	 1.41364E+03
 6.92305E+02	 1.41378E+03
 6.95026E+02	 1.41600E+03
 6.97747E+02	 1.41694E+03
 7.00467E+02	 1.41616E+03
 7.03186E+02	 1.41786E+03
 7.05905E+02	 1.41728E+03
 7.08622E+02	 1.41858E+03
 7.11338E+02	 1.41724E+03
 7.14054E+02	 1.42032E+03
 7.16768E+02	 1.41990E+03
 7.19482E+02	 1.42180E+03
 7.22195E+02	 1.42178E+03
 7.24907E+02	 1.42470E+03
 7.27618E+02	 1.42586E+03
 7.30328E+02	 1.42638E+03
 7.33037E+02	 1.42726E+03
 7.35745E+02	 1.42850E+03
 7.38453E+02	 1.43076E+03
 7.41159E+02	 1.43472E+03
 7.43865E+02	 1.43064E+03
 7.46569E+02	 1.43588E+03
 7.49273E+02	 1.43622E+03
 7.51976E+02	 1.43548E+03
 7.54678E+02	 1.43870E+03
 7.57379E+02	 1.44306E+03
 7.60080E+02	 1.44768E+03
 7.62779E+02	 1.44530E+03
 7.65478E+02	 1.44886E+03
 7.68175E+02	 1.44948E+03
 7.70872E+02	 1.44766E+03
 7.73568E+02	 1.44584E+03
 7.76263E+02	 1.44450E+03
 7.78957E+02	 1.43992E+03
 7.81650E+02	 1.43550E+03
 7.84342E+02	 1.43596E+03
 7.87034E+02	 1.42884E+03
 7.89724E+02	 1.43002E+03
 7.92414E+02	 1.42454E+03
 7.95103E+02	 1.42224E+03
 7.97791E+02	 1.42276E+03
 8.00478E+02	 1.42044E+03
 8.03164E+02	 1.42102E+03
 8.05849E+02	 1.41816E+03
 8.08533E+02	 1.41748E+03
 8.11217E+02	 1.41772E+03
 8.13899E+02	 1.41792E+03
 8.16581E+02	 1.41932E+03
 8.19262E+02	 1.41896E+03
 8.21942E+02	 1.41764E+03
 8.24621E+02	 1.41870E+03
 8.27299E+02	 1.41832E+03
 8.29977E+02	 1.41874E+03
 8.32653E+02	 1.42104E+03
 8.35329E+02	 1.41942E+03
 8.38003E+02	 1.41820E+03
 8.40677E+02	 1.42238E+03
 8.43350E+02	 1.41694E+03
 8.46022E+02	 1.42182E+03
 8.48693E+02	 1.42082E+03
 8.51364E+02	 1.41846E+03
 8.54033E+02	 1.42098E+03
 8.56702E+02	 1.42152E+03
 8.59370E+02	 1.42124E+03
 8.62036E+02	 1.42094E+03
 8.64702E+02	 1.42058E+03
 8.67367E+02	 1.42010E+03
 8.70032E+02	 1.42240E+03
 8.72695E+02	 1.41956E+03
 8.75358E+02	 1.41954E+03
 8.78019E+02	 1.41918E+03
 8.80680E+02	 1.42006E+03
 8.83340E+02	 1.41730E+03
 8.85999E+02	 1.41906E+03
 8.88657E+02	 1.41996E+03
 8.91314E+02	 1.41800E+03
 8.93971E+02	 1.42040E+03
 8.96626E+02	 1.42264E+03
 8.99281E+02	 1.41930E+03
 9.01935E+02	 1.41932E+03
 9.04588E+02	 1.42022E+03
 9.07240E+02	 1.42196E+03
 9.09891E+02	 1.42026E+03
 9.12541E+02	 1.41984E+03
 9.15191E+02	 1.41876E+03
 9.17840E+02	 1.42000E+03
 9.20487E+02	 1.42052E+03
 9.23134E+02	 1.41856E+03
