//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
 4.88360E+02	 1.45348E+03
 4.91150E+02	 1.45292E+03
 4.93939E+02	 1.45510E+03
 4.96727E+02	 1.45432E+03
 4.99514E+02	 1.45778E+03
 5.02300E+02	 1.45924E+03
 5.05085E+02	 1.45712E+03
 5.07869E+02	 1.45462E+03
 5.10652E+02	 1.45962E+03
 5.13435E+02	 1.45938E+03
 5.16216E+02	 1.46126E+03
 5.18996E+02	 1.45600E+03
 5.21776E+02	 1.45982E+03
 5.24554E+02	 1.46044E+03
 5.27332E+02	 1.46008E+03
 5.30109E+02	 1.46038E+03
 5.32885E+02	 1.45388E+03
 5.35659E+02	 1.45568E+03
 5.38433E+02	 1.45802E+03
 5.41206E+02	 1.45552E+03
 5.43978E+02	 1.44988E+03
 5.46750E+02	 1.45200E+03
 5.49520E+02	 1.45490E+03
 5.52289E+02	 1.44992E+03
 5.55057E+02	 1.44880E+03
 5.57825E+02	 1.44804E+03
 5.60591E+02	 1.44734E+03
 5.63357E+02	 1.44556E+03
 5.66122E+02	 1.44564E+03
 5.68885E+02	 1.44398E+03
 5.71648E+02	 1.44266E+03
 5.74410E+02	 1.44018E+03
 5.77171E+02	 1.44212E+03
 5.79931E+02	 1.43800E+03
 5.82690E+02	 1.43378E+03
 5.85448E+02	 1.43730E+03
 5.88206E+02	 1.43548E+03
 5.90962E+02	 1.43542E+03
 5.93717E+02	 1.43044E+03
 5.96472E+02	 1.43556E+03
 5.99225E+02	 1.43716E+03
 6.01978E+02	 1.43610E+03
 6.04730E+02	 1.43494E+03
 6.07481E+02	 1.43498E+03
 6.10231E+02	 1.43420E+03
 6.12980E+02	 1.43208E+03
 6.15728E+02	 1.43166E+03
 6.18475E+02	 1.43090E+03
 6.21221E+02	 1.43266E+03
 6.23967E+02	 1.43272E+03
 6.26711E+02	 1.43272E+03
 6.29454E+02	 1.43130E+03
 6.32197E+02	 1.43246E+03
 6.34939E+02	 1.43418E+03
 6.37680E+02	 1.43520E+03
 6.40419E+02	 1.43596E+03
 6.43158E+02	 1.43874E+03
 6.45896E+02	 1.43590E+03
 6.48634E+02	 1.43736E+03
 6.51370E+02	 1.43580E+03
 6.54105E+02	 1.43604E+03
 6.56840E+02	 1.43528E+03
 6.59573E+02	 1.43378E+03
 6.62306E+02	 1.43228E+03
 6.65037E+02	 1.43294E+03
 6.67768E+02	 1.43240E+03
 6.70498E+02	 1.43468E+03
 6.73227E+02	 1.43160E+03
 6.75955E+02	 1.43188E+03
 6.78682E+02	 1.43186E+03
 6.81409E+02	 1.43842E+03
 6.84134E+02	 1.43666E+03
 6.86858E+02	 1.43664E+03
 6.89582E+02	 1.43808E+03
 6.92305E+02	 1.43484E+03
 6.95026E+02	 1.43676E+03
 6.97747E+02	 1.43832E+03
 7.00467E+02	 1.43990E+03
 7.03186E+02	 1.44068E+03
