//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100 5mins--Spectrum--035--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100 5mins--Spectrum--035--Spec.Data 1
 2.65845E+01	 1.34788E+03
 2.95325E+01	 1.34754E+03
 3.24795E+01	 1.34724E+03
 3.54254E+01	 1.34660E+03
 3.83703E+01	 1.34684E+03
 4.13142E+01	 1.34614E+03
 4.42570E+01	 1.34658E+03
 4.71989E+01	 1.34690E+03
 5.01397E+01	 1.34710E+03
 5.30795E+01	 1.34776E+03
 5.60182E+01	 1.34810E+03
 5.89559E+01	 1.34926E+03
 6.18927E+01	 1.35408E+03
 6.48283E+01	 1.36594E+03
 6.77630E+01	 1.38430E+03
 7.06967E+01	 1.40008E+03
 7.36293E+01	 1.41170E+03
 7.65609E+01	 1.41900E+03
 7.94915E+01	 1.42262E+03
 8.24211E+01	 1.42466E+03
 8.53496E+01	 1.42288E+03
 8.82771E+01	 1.42696E+03
 9.12037E+01	 1.42584E+03
 9.41292E+01	 1.42458E+03
 9.70536E+01	 1.42756E+03
 9.99771E+01	 1.42972E+03
 1.02900E+02	 1.42678E+03
 1.05821E+02	 1.43310E+03
 1.08741E+02	 1.43084E+03
 1.11661E+02	 1.42824E+03
 1.14579E+02	 1.43186E+03
 1.17497E+02	 1.43348E+03
 1.20413E+02	 1.43280E+03
 1.23328E+02	 1.43468E+03
 1.26243E+02	 1.43576E+03
 1.29156E+02	 1.43770E+03
 1.32068E+02	 1.43760E+03
 1.34980E+02	 1.43400E+03
 1.37890E+02	 1.44122E+03
 1.40799E+02	 1.44020E+03
 1.43708E+02	 1.44286E+03
 1.46615E+02	 1.44448E+03
 1.49521E+02	 1.44326E+03
 1.52427E+02	 1.44120E+03
 1.55331E+02	 1.44418E+03
 1.58234E+02	 1.44722E+03
 1.61137E+02	 1.44834E+03
 1.64038E+02	 1.44728E+03
 1.66938E+02	 1.44764E+03
 1.69837E+02	 1.44728E+03
 1.72736E+02	 1.44894E+03
 1.75633E+02	 1.45036E+03
 1.78529E+02	 1.44858E+03
 1.81425E+02	 1.45034E+03
 1.84319E+02	 1.45010E+03
 1.87212E+02	 1.45058E+03
 1.90105E+02	 1.45330E+03
 1.92996E+02	 1.45064E+03
 1.95886E+02	 1.44988E+03
 1.98775E+02	 1.44776E+03
 2.01664E+02	 1.45072E+03
 2.04551E+02	 1.44734E+03
 2.07437E+02	 1.44862E+03
 2.10323E+02	 1.44866E+03
 2.13207E+02	 1.45078E+03
 2.16090E+02	 1.44944E+03
 2.18973E+02	 1.44736E+03
 2.21854E+02	 1.44534E+03
 2.24735E+02	 1.44670E+03
 2.27614E+02	 1.44558E+03
 2.30492E+02	 1.44228E+03
 2.33370E+02	 1.44650E+03
 2.36246E+02	 1.44664E+03
 2.39122E+02	 1.44358E+03
 2.41996E+02	 1.44330E+03
