Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,202.1196619533861,43.3011527666036,5.102049239901249,0.10252184527544754
2,voigt,251.36369833520237,25.864922116462537,2.5185146167798065,0.07390379663894799
3,voigt,508.2334388134978,52.42195679312777,23.93213688641373,0.3420760017202286
4,voigt,541.7347798044271,31.006727609532263,7.084575872119785,0.16962489101115005
5,voigt,562.8307651290471,14.770262631782526,2.2781718664008435,0.11351900749495107
6,voigt,649.8113429778924,10.664732687690318,1.2530309698253144,0.08343863794966144
7,gauss,766.3614999711085,50.47014064050538,43.68494941827876,0.8124421226332733
8,lorentz,812.8180335440852,11.66509462497124,2.205749204023886,0.11638073488253854
9,lorentz,827.8555539208487,16.027381296750143,4.807771431230761,0.19005165026066093
10,lorentz,717.0805323849385,33.164867738972326,11.793396529830796,0.22630102084951276
11,voigt,848.2645167586471,27.21958484193277,9.12844353563312,0.2479958734925754
12,voigt,961.4596266589426,6.187588818688725,8.729551998621763e-34,9.11957245723506e-35
13,voigt,921.642137186675,17.797457024826844,3.129987966824903,0.12815287901409253
14,gauss,896.1149767926868,53.13721402267465,15.905301720112682,0.2811226641939527
15,voigt,869.4482172418766,8.665107536745085,1.5170259114675144,0.12719459881037634
16,gauss,1171.9234106480558,68.64717117435023,1.6077833630111265,0.02198422390388865
17,lorentz,1381.428403615594,159.62500562212296,18.078198203588993,0.07209776940167076
18,lorentz,1570.1734784996993,146.63813526503364,9.70390313599665,0.04211994172788923
