Raman Shift (cm-1),Processed Intensity
172.736,0.22477491233161612
175.633,0.14658107476512716
178.529,0.16628227485088673
181.425,0.24515145239006286
184.319,0.2680243076137746
187.212,0.28585717718789666
190.105,0.2293491977177363
192.996,0.3064000430903489
195.886,0.22655773605561594
198.775,0.23237417017591544
201.664,0.3370980812675293
204.551,0.40925888967918184
207.437,0.1889786113587731
210.323,0.18887953522942028
213.207,0.43443695156299855
216.09,0.29277153907480546
218.973,0.2449126434985081
221.854,0.3571006618558865
224.735,0.34194237574614533
227.614,0.34517023941980196
230.492,0.2057620317853833
233.37,0.35684812453085446
236.246,0.2858032184871586
239.122,0.18626342931197784
241.996,0.21517152721859847
244.87,0.3399169399654807
247.742,0.24252802952935448
250.614,0.27154874257621014
253.484,0.3220054781087223
256.354,0.28383395384939164
259.222,0.34455071235393875
262.09,0.24427949243467253
264.956,0.28875582984739867
267.822,0.4005277141127664
270.687,0.4297810651502629
273.55,0.3510355695255838
276.413,0.26722523529991943
279.275,0.27210793091400604
282.135,0.3544711465696302
284.995,0.2554579858099981
287.854,0.27876699249326337
290.711,0.1879580190726022
293.568,0.31934590315579253
296.424,0.31419497486248227
299.279,0.19084888782173662
302.133,0.2723710365411544
304.986,0.1613002335355291
307.838,0.2601919912655438
310.689,0.1705660060250977
313.538,0.12376257835733484
316.387,0.24921343795780004
319.236,0.2615617025922454
322.083,0.28208021776140435
324.929,0.19458906545853302
327.774,0.19272224703413907
330.618,0.20514008837905007
333.461,0.09120211263574972
336.303,0.21779436294940133
339.145,0.22312678421362325
341.985,0.18566873514081034
344.824,0.18083674238439618
347.663,0.13423531732276292
350.5,0.0
353.336,0.15826708620710478
356.172,0.0627841403020743
359.006,0.13139063463117034
361.84,0.1643397459140139
364.672,0.21666082270940487
367.504,0.12325747495785612
370.335,0.17356041337329603
373.164,0.1576268622465533
375.993,0.20692716928920898
378.821,0.22464195343683652
381.648,0.26070806484785425
384.473,0.10620186832067688
387.298,0.10864922314544974
390.122,0.024476103690217226
392.945,0.15636351009992405
395.767,0.17207474122292282
398.588,0.1918666196903158
401.408,0.04248666453209448
404.227,0.1193566866878862
407.046,0.12794940298673546
409.863,0.13858110596577292
412.679,0.15634860818500557
415.494,0.09054894896863568
418.309,0.1501048664984479
421.122,0.15666505622329435
423.935,0.16118879487245316
426.746,0.08214209234145727
429.557,0.16513798126484422
432.366,0.30112598246034206
435.175,0.14666226265218643
437.983,0.10022447514752877
440.79,0.12002792377483516
443.595,0.19384106576075727
446.4,0.09643911423516942
449.204,0.13661634284552604
452.007,0.12889080945168774
454.809,0.0691856359335327
457.61,0.12667597179515153
460.41,0.04148343270728858
463.21,0.22228022301740794
466.008,0.06268071713561325
468.805,0.2241012575547685
471.602,0.21532266951738863
474.397,0.14538829151372928
477.192,0.1253861148852242
479.985,0.10435615589948173
482.778,0.22599855300222202
485.569,0.19985789648232055
488.36,0.22874383904600157
491.15,0.21583718511365652
493.939,0.27629927858037956
496.727,0.20732304958313943
499.514,0.31362794637512553
502.3,0.2558435488126417
505.085,0.3631484230073645
507.869,0.4571946257201208
510.652,0.33619423847270474
513.435,0.5158281062560247
516.216,0.3978638043065157
518.996,0.5581108325436912
521.776,0.4340109790526147
524.554,0.5096474294935001
527.332,0.4813224297489668
530.109,0.5294201212645099
532.885,0.48986041191574703
535.659,0.461497106724403
538.433,0.5329973123465898
541.206,0.6330202037275426
543.978,0.5302231547828431
546.75,0.4600263881099323
549.52,0.5141483212776061
552.289,0.4571713389539351
555.057,0.4348307625122411
557.825,0.5072565301514034
560.591,0.43189261967506576
563.357,0.408491214578598
566.122,0.4115723927020101
568.885,0.39323540484059977
571.648,0.3616360622484098
574.41,0.3952456818245997
577.171,0.3789024509611013
579.931,0.3238166243168084
582.69,0.32069056469510954
585.448,0.39704060663860663
588.206,0.3296786593610862
590.962,0.29083457581193617
593.717,0.31210266395955033
596.472,0.24571041338337463
599.225,0.31382506788943937
601.978,0.2524947728693472
604.73,0.29000298450762224
607.481,0.23679147154865396
610.231,0.2844564561091629
612.98,0.28522402494111404
615.728,0.2513236067307721
618.475,0.2805915152471587
621.221,0.3078033401998212
623.967,0.25041083673711956
626.711,0.31427532495183796
629.454,0.24767306782271034
632.197,0.32475115246554404
634.939,0.3070318030866806
637.68,0.34126957360312743
640.419,0.2786701255364784
643.158,0.327138452467049
645.896,0.34807151110012396
648.634,0.3445279095859095
651.37,0.34809795563588963
654.105,0.25788905607796747
656.84,0.39594735613985094
659.573,0.2679923656453035
662.306,0.34894094935772113
665.037,0.2912673036230343
667.768,0.3303928292775659
670.498,0.29714068070617894
673.227,0.32297850642505327
675.955,0.3600071576802363
678.682,0.2635101816144081
681.409,0.2362955315544989
684.134,0.30281980088032684
686.858,0.20932091863036598
689.582,0.33593536651792505
692.305,0.37386562642848425
695.026,0.33228262852569074
697.747,0.3559051244982941
700.467,0.494669224541229
703.186,0.420415181027169
705.905,0.38079260844882196
708.622,0.451214724447869
711.338,0.5032723531045447
714.054,0.4880483975112411
716.768,0.41267444501231143
719.482,0.5166482032137201
722.195,0.5003444233677002
724.907,0.670521084058608
727.618,0.6205454843016539
730.328,0.6897877527634597
733.037,0.7049958589732207
735.745,0.7150880156499245
738.453,0.6201906058585741
741.159,0.6526629943404619
743.865,0.7085561250305614
746.569,0.7297774749791981
749.273,0.6867744208288219
751.976,0.7568744435847344
754.678,0.8667002256990728
757.379,0.8786692903436938
760.08,0.794820935320626
762.779,0.8648398584718474
765.478,0.7992953293430672
768.175,0.9130963692196536
770.872,0.8984678913394397
773.568,1.0
776.263,0.8650738983233243
778.957,0.9268196709861196
781.65,0.9589905885946013
784.342,0.9198023713884338
787.034,0.9407237179649368
789.724,0.9809875672575779
792.414,0.8918029431947138
795.103,0.9126643742209444
797.791,0.8275164374507102
800.478,0.781075570896805
803.164,0.751940098395992
805.849,0.777817859158204
808.533,0.7527194281805616
811.217,0.7337169998731495
813.899,0.8186452738735321
816.581,0.6915759177280136
819.262,0.8100972613946409
821.942,0.7278306199682213
824.621,0.7056732147607798
827.299,0.650884316354256
829.977,0.8223237320458014
832.653,0.8062232379360508
835.329,0.7574922658526645
838.003,0.7800804315101113
840.677,0.7567895537002861
843.35,0.7355179612024652
846.022,0.788623921575678
