Raman Shift (cm-1),Processed Intensity
150.119141,0.04096327895426296
152.046875,0.04439442237945938
153.974609,0.047873202770841804
155.900391,0.05139502524774825
157.828125,0.05489773665086113
159.753906,0.058395608693102036
161.679688,0.0615172747881992
163.603516,0.06492732066560494
165.529297,0.06976908952048921
167.453125,0.07326898620819043
169.376953,0.07832830858844204
171.300781,0.08217501349242734
173.222656,0.08401670586452849
175.146484,0.08588217686862316
177.068359,0.08857756806516097
178.990234,0.09095113781616347
180.910156,0.09348488053588708
182.832031,0.09558991915330091
184.751953,0.09983925532025963
186.671875,0.10483356426853746
188.591797,0.10770607228557495
190.511719,0.10820539200848786
192.429688,0.1092739476634482
194.347656,0.11033332869685471
196.265625,0.11463379219691096
198.183594,0.11475057182129562
200.099609,0.11462945208768721
202.015625,0.1131009790573104
203.933594,0.11470520166908227
205.847656,0.11397242153043496
207.763672,0.11002620412258582
209.677734,0.1070008067863683
211.59375,0.10242616999683306
213.507812,0.09879541819878408
215.419922,0.0980677729054397
217.333984,0.0933512390975787
219.246094,0.09443268222521319
221.158203,0.09516019116576228
223.070312,0.09653432776844868
224.982422,0.0950509530227818
226.892578,0.0929732375709774
228.802734,0.0887280458645968
230.712891,0.08300703303685254
232.623047,0.08015092577315987
234.533203,0.07714735191339599
236.441406,0.07319176500461046
238.349609,0.07501999918060467
240.257812,0.0734747865533728
242.166016,0.07445812682365602
244.072266,0.06927230695008638
245.980469,0.0699568516586848
247.886719,0.07077518612947256
249.791016,0.07098633392809689
251.697266,0.0745415502281007
253.601562,0.07569530706051493
255.507812,0.07919288591338088
257.412109,0.08280153219819124
259.314453,0.08404261223610462
261.21875,0.08594717219500134
263.121094,0.08473560737229785
265.023438,0.08866819706109594
266.925781,0.09126881180113217
268.828125,0.09317154581823595
270.728516,0.09434452703303953
272.628906,0.09421377947879529
274.529297,0.09436094525400392
276.429688,0.09630563074588938
278.330078,0.09540093467003914
280.228516,0.09584278583890418
282.126953,0.09558088152587027
284.025391,0.09717631555058967
285.923828,0.09958736656056758
287.822266,0.1020477032373135
289.71875,0.09593187633279655
291.615234,0.09432309759039265
