Raman Shift (cm-1),Fitted Intensity
159.26151312198635,0.03554623789921131
162.17892251266312,0.03601939470770803
165.06070388440276,0.03649808926578303
167.97629817665074,0.03699425943466887
170.89098012548493,0.03750263277772608
173.77006778237046,0.03801737761401855
176.68293717714914,0.0385513618074656
179.59489550712533,0.039098951977502266
182.50594319967058,0.03966066504634377
185.38144153980102,0.04023009412105314
188.29068006676243,0.04082152574708793
191.19900923170644,0.04142878829105074
194.07182265961455,0.0420449892977909
196.97834519226308,0.042685636149553535
199.8839596359394,0.043344105452215384
202.75409191031576,0.044012964889328036
205.65790225025557,0.044709104184509366
208.5608057718964,0.045425400413134705
211.42826064439942,0.04615381887392924
214.32936258615155,0.04691282222660616
217.22955897789507,0.04769473343788654
220.09434019320543,0.048490842922604534
222.9927375242005,0.04932141217437075
225.89023057112718,0.050178147139941044
228.75234186693342,0.05105157854673636
231.64803836756255,0.05196403535025876
234.54283184768065,0.052906533076458435
237.4022769547155,0.0538687424971342
240.2952763983085,0.05487538005244508
243.18737408261222,0.05591668383851288
246.04415672466348,0.05698134459984818
248.93446287752522,0.058096847434117624
251.82386852998388,0.05925254785193433
254.67799242389083,0.0604360107397837
257.565609045334,0.061677942607544126
260.41796602711474,0.0629510594745571
263.3037952786035,0.06428850193046039
266.18872612093764,0.06567785134962363
269.0384305290536,0.06710437763706681
271.9215764941182,0.06860538310267719
274.8038253026716,0.07016713948493176
277.65088083558294,0.07177320700454388
280.5313472549242,0.07346573936765453
283.37664243438485,0.07520801970762028
286.2553281173605,0.0770458601201564
289.13311872473423,0.07896276356185747
291.97577117291803,0.0809386728431931
294.85178352428557,0.08302561715504043
297.6926797004962,0.08517844731065931
300.5669154435891,0.08745384552773157
303.44025818556474,0.08983147947974005
306.2785177554506,0.09228634392454192
309.150086361853,0.09488294731503133
311.98659372863403,0.09756489711306111
314.85638984211255,0.10040248772890353
317.69114662786524,0.10333386918223772
320.55917188903913,0.10643559696449219
323.42630704161274,0.10967921317107251
326.25843576130865,0.11302959458045032
329.1238025236089,0.1165736072964641
331.9541847135806,0.12023292551101894
334.8177847211591,0.12410186798951524
337.6464219965019,0.1280943215427478
340.5082568828984,0.13231251777249559
343.3351508567066,0.13666185174392473
346.1952222534492,0.14125291021553874
349.0203745368344,0.1459819058599908
351.8786840734356,0.1509682001361192
354.7361080202609,0.15616122364217905
357.55864557949826,0.1615003333895259
360.4143101115624,0.16711880778489285
363.23511000427607,0.1728871185029084
366.08901674608205,0.1789482412594873
368.90808057645336,0.1851614355337135
371.7602311504961,0.19167968044429307
374.57756052071636,0.19835061965557493
377.42795654749716,0.20533749689895592
380.2435530577968,0.21247602786568842
383.0921961558306,0.21993992744718188
385.90606140446107,0.2275527585596369
388.7529531902692,0.23549884530829646
391.56508877352826,0.24358944943308625
394.41023086164205,0.2520195551618688
397.2206383738594,0.2605880352885986
400.0640323768239,0.26950047419513656
402.8727134103756,0.2785433115651779
405.71436093876036,0.28793253270460867
408.5213170840616,0.2974421302244657
411.36121974646085,0.30729812005702595
414.16645259197685,0.3172620599205919
417.00461199500205,0.3275694218103752
419.8081231272481,0.337969377969343
422.6107791472823,0.34857700592363844
