Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,192.75342206459987,46.70746093753492,3.219100902200727,0.06485701834384083
2,voigt,276.47395080934024,72.65554220842768,8.045627643382115,0.08770547294083292
3,voigt,421.7491973277938,163.7211585236522,8.190792280275065,0.03975425125812574
4,voigt,508.8432548288876,4.377374674265906,0.20375096397387743,0.031906677002816596
5,voigt,536.9711572974817,74.88283366652422,10.087141560614194,0.10159124368288984
6,voigt,605.6993276408195,2.401104539744881,0.12220736054524771,0.02733362215619975
7,voigt,657.7624610715285,1.6376070355622458,0.10437723622169054,0.024591845820085466
8,lorentz,753.4522075275361,43.35784138508729,24.686693369283283,0.36220701989426035
9,lorentz,778.5876440305806,20.03552171100998,6.450671847469765,0.20485920336419602
10,lorentz,839.4679509534909,43.76378872137216,5.0486085915141246,0.07336097945088284
11,gauss,720.4457490980042,86.13721547331834,9.869564447505303,0.10759545056836381
12,voigt,775.668528634472,24.556718622374085,19.91547436463316,0.5999999999999999
13,voigt,948.6992157763362,17.603608076504564,3.8213429599007505,0.15977222414281722
14,voigt,933.7339380112845,28.71244976765231,6.123141579350903,0.15775590640368437
15,gauss,890.9452260118293,76.16582801305951,11.161680644657007,0.13766800127719334
16,voigt,869.3611229761265,3.000639044879489,1.3381167403628387e-33,3.1109237216816435e-34
17,gauss,1155.9913840133959,235.47999999999996,14.335567989966478,0.057189505720215514
18,gauss,1355.0187628629583,75.78015624484868,4.4948838771327955,0.05568299063540431
19,lorentz,1462.7467610250676,76.2857868958773,17.296002432499936,0.144261721439228
20,lorentz,1574.6456607370328,61.741309688337786,8.2488795146545,0.08504857771839196
