Wavenumber (cm^-1),Intensity (a.u.)
751.3044081,1450.2
754.0394272,1459.13
756.7410723,1456.37
759.4419084,1457.13
762.141936,1454.1
764.8411554,1455.67
767.5395669,1458.6
770.237171,1454.67
772.9339679,1453.57
775.662435,1457.33
778.357609,1457.6
781.051977,1456.57
783.7455394,1455.67
786.4382965,1455.6
789.1302486,1454.83
791.8213961,1456.63
794.5117394,1449.13
797.2012788,1453.93
799.9224042,1453.17
802.6103273,1451.8
805.2974476,1450.63
807.9837655,1452
810.6692814,1452.13
813.3539955,1451.23
816.0379083,1457
818.7210201,1452.17
821.4033313,1449.8
824.0848422,1453.43
826.7655532,1452.83
829.4777478,1445.8
832.1568505,1451.77
834.8351543,1451.23
837.5126596,1450.53
840.1893668,1455.67
842.8652762,1439.67
845.5403882,1447.67
848.2147032,1450.73
850.8882215,1447.93
853.5609435,1451.43
856.2328694,1446.6
858.9039998,1449.6
861.5743349,1449.13
864.243875,1445.37
866.9126206,1446
869.580572,1449.27
872.2477296,1442.9
874.9140936,1444
877.5796645,1445.2
880.2444426,1444.63
882.9084283,1444.3
885.5716219,1441.53
888.2340238,1438.53
890.8956343,1441
893.5564538,1442.63
896.2164826,1441.43
898.875721,1443.17
901.5661943,1439.87
904.2238436,1440.23
906.8807038,1438.13
909.5047789,1439.6
912.160071,1439.1
914.814575,1436.87
917.4682911,1437.7
920.1212197,1436.07
922.7733612,1435.13
925.4247158,1435.97
928.075284,1434.07
930.7250661,1438.07
933.3740624,1435.47
936.0222733,1435.57
938.6696992,1430.63
941.3163403,1436.4
943.9621971,1432.2
946.6072699,1433.53
949.251559,1437.27
951.8950648,1430.43
954.5377877,1430.03
957.1797279,1429.27
959.8208858,1432.2
962.4612619,1424.03
965.1008563,1431.87
967.7396695,1427.53
970.3777019,1428.13
973.0149537,1425.93
975.6514253,1425.57
978.2871171,1430.63
980.890288,1426.2
983.5244305,1425.23
986.1577942,1427.53
988.7903795,1423.93
991.4221866,1424.3
994.0532159,1423.27
996.6834678,1421.37
999.3129427,1421.77
1001.941641,1422.97
1004.569562,1423.37
1007.196708,1425.6
1009.823078,1421.37
1012.417043,1418.5
1015.041872,1419.73
1017.665927,1422.97
1020.289206,1423.57
1022.911712,1419.53
1025.533444,1419.9
1028.154403,1421.53
1030.774589,1419
1033.394002,1421.5
1035.981098,1419.83
1038.598977,1421.57
1041.216083,1420.3
1043.832419,1421.63
1046.447983,1420.4
1049.062777,1422.27
1051.676801,1418.5
1054.290055,1417.73
1056.871068,1417.8
1059.482792,1416.9
1062.093747,1417.4
1064.703934,1418.7
1067.313353,1416.97
1069.922004,1418.13
1072.498471,1420.27
1075.105596,1414.47
1077.711955,1417.4
1080.317547,1414.13
1082.922372,1417.87
1085.526432,1417.7
1088.129727,1417.37
1090.700905,1415.2
1093.302678,1413.27
1095.903687,1414.63
1098.503932,1413.23
1101.103413,1410.63
1103.670825,1416.23
1106.268789,1410.87
1108.86599,1417.07
1111.462428,1417.47
1114.058104,1413.9
1116.621759,1413.6
1119.215921,1415.73
1121.809322,1411.6
1124.401962,1413.73
1126.993842,1414.63
1129.553747,1411.4
1132.144116,1419.13
1134.733726,1413.23
1137.322576,1412
1139.910667,1414.13
1142.466832,1417.23
1145.053416,1414.07
1147.639242,1411.53
1150.22431,1411.37
1152.77749,1411.73
1155.361054,1411.77
1157.943861,1413.1
1160.525912,1415.7
1163.107207,1412.9
1165.656661,1412.87
1168.236454,1414.9
1170.815493,1413.27
1173.393778,1410.23
1175.940258,1411.5
1178.517043,1413.9
1181.093075,1414.63
1183.668354,1411.3
1186.211866,1414
1188.785648,1412.77
1191.358678,1409.7
1193.930957,1412.33
1196.471506,1409.5
1199.04229,1412.5
1201.612324,1411.53
1204.150657,1411.6
1206.719199,1414.4
1209.286991,1412.03
1211.854033,1411.67
1214.389412,1413.43
1216.954965,1414.17
1219.51977,1411.87
1222.052939,1412.3
1224.616257,1411.93
1227.178827,1414.97
1229.740649,1412.6
1232.270873,1412.67
1234.831211,1415.97
1237.390803,1413.97
1239.918824,1413.6
1242.476933,1413.07
1245.034297,1414.9
1247.560118,1412.93
1250.116001,1413.33
1252.671139,1410.23
1255.194763,1414.23
1257.748423,1413.4
1260.301339,1413.5
1262.822768,1413.67
1265.374208,1411.73
1267.924905,1417.3
1270.444142,1414.43
1272.993364,1417.83
1275.541845,1410.67
1278.058894,1409.3
1280.605902,1411.57
1283.152169,1415.03
1285.667031,1414.9
1288.211828,1417.33
1290.755884,1413.5
1293.268564,1417.6
1295.811151,1418.87
1298.353,1414.3
1300.8635,1415.83
