Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,454.99999999999943,99.99999999999999,0.09999999999999999,0.09999999999999999
2,voigt,515.0000000000001,99.99999999999999,0.39999999999999997,0.39999999999999997
3,voigt,555.0000000000018,99.99999999999999,0.19999999999999998,0.19999999999999998
4,voigt,685.0000000000001,99.99999989083061,0.09999999999999999,0.09999999999999999
5,voigt,735.0000000000001,99.99999999999999,0.3929275735107021,0.3929275735107021
6,voigt,783.5974000281984,22.05769961800211,0.10301966648090101,0.10301966648090101
7,voigt,839.0358998919273,46.02681856706165,0.3030697873715475,0.3030697873715475
8,voigt,890.4869184908292,24.84437620408541,0.13894153270597948,0.13894153270597948
9,voigt,926.3795986940474,11.301220961340078,0.05491867771360629,0.0549186777136063
10,voigt,954.5389803568103,99.99999999815822,0.30079508674575395,0.30079508674575395
11,lorentz,1338.6056618552977,199.99999999990564,83.50169284012904,0.26579385933409
12,lorentz,1434.9999999999998,199.99999999999997,225.0526002955286,0.7162668861137258
13,lorentz,1627.0385526085008,199.99999999999997,112.41147148235783,0.3577864536796467
