Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,gauss,520.0000000000001,104.07734064236412,82.97416591254651,0.7489465105227547
2,lorentz,764.880809343525,124.15617862819727,188.28086559668193,0.9654237358277434
3,gauss,890.0000000000001,121.90919969426797,74.84306921158867,0.5767388428450108
4,gauss,1279.9999999999998,228.99205923480466,61.85734108488268,0.25376686732777404
5,gauss,1415.1542594436303,157.84759522526303,134.41999159984834,0.7999999999999999
6,pvoigt,1560.3676149577527,304.6504504283474,63.93759766574029,0.3015245852065175
