Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,gauss,520.0000000000001,100.27823622944798,71.2701857519931,0.6676752796879545
2,lorentz,760.5975485020961,92.26673056574695,109.4416826694512,0.7551230945471082
3,lorentz,869.9999999999999,164.0857522785475,163.50792014048898,0.6343778996937552
4,gauss,1265.097550398898,199.85276692567737,39.552542300483935,0.18592095061689926
5,gauss,1417.2833211835116,160.59269158405127,136.75766313017795,0.7999999999999999
6,pvoigt,1574.3625038596724,258.09656683737205,46.45997436678722,0.2586217088577425
