Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,210.87941409608075,48.88242854690529,11.511726888631673,0.19999999999999998
2,voigt,270.7113764675035,60.246980880984744,12.607056163682628,0.16442248385541658
3,voigt,504.219245613559,12.268151455215591,3.6451998226773763,0.21610018250506133
4,voigt,527.3461768628849,28.0752669509994,11.860470797634582,0.3136922797541692
5,voigt,561.0065122543998,53.84378707341118,16.640056468607607,0.23120602019254627
6,voigt,633.3157850442499,83.94709046030076,13.567392005717679,0.12168279824625372
7,gauss,773.7764907546101,2.3678440849961078,0.32854164748521175,0.12757515053714555
8,lorentz,784.8364922384914,25.520163952582916,13.230822531886908,0.32955793499942715
9,lorentz,804.5808945675972,20.71642327616918,7.99043993463368,0.24192189056779276
10,lorentz,752.2669112684753,72.14240708864394,73.95609495698602,0.6525821925299197
11,voigt,841.1697714106851,45.208075197968284,32.18656326953355,0.5289107890105387
12,voigt,938.0597121943475,15.797717554123295,5.261577847916276,0.24310405187735762
13,voigt,921.3458407695675,17.029779945864792,6.2414659384232865,0.2684175957956171
14,gauss,898.1899128406316,54.47558890786252,34.373063124284585,0.5921031356871947
15,voigt,864.658386695504,18.99008986628961,4.695080391767144,0.1826149441148443
16,gauss,1184.850079473213,75.31013338082627,2.472718069375447,0.030820728405326524
17,lorentz,1383.537781216998,164.68575675389442,45.019555736139274,0.17403043138695776
18,lorentz,1573.7582058599978,118.34831369565256,27.432291384835235,0.14756364537571126
