Raman Shift (cm-1),Fitted Intensity
172.736,0.042813352001906016
175.633,0.04854293456940672
178.529,0.055206318079272294
181.425,0.06286715778270281
184.319,0.07153036468586639
187.212,0.08113603974742273
190.105,0.09153307221870183
192.996,0.10245375949445971
195.886,0.11353406995511688
198.775,0.12431384848463471
201.664,0.13427554120881374
204.551,0.14287868667926498
207.437,0.14963950425885789
210.323,0.15417830346362962
213.207,0.15626991176144417
216.09,0.15588788564533063
218.973,0.15320676651209825
221.854,0.14859396424842053
224.735,0.1425652357620809
227.614,0.13574598026095877
230.492,0.12880242840345843
233.37,0.12239617838635539
236.246,0.11714874630677202
239.122,0.11359470804223532
241.996,0.11216957447664462
244.87,0.11317502503671618
247.742,0.11675136840366199
250.614,0.12284247858235813
253.484,0.13114619287939921
256.354,0.14110255639226502
259.222,0.15187311237252227
262.09,0.16241568301610992
264.956,0.1715590172571856
267.822,0.1781797174827503
270.687,0.18134858723632835
273.55,0.18049704959155485
276.413,0.17550548097422242
279.275,0.16671640824273282
282.135,0.15486466365799462
284.995,0.14091895136756627
287.854,0.12593869908038657
290.711,0.11090702100911613
293.568,0.09660030511002153
296.424,0.08356472967802772
299.279,0.07209378329888565
302.133,0.0622716937575409
304.986,0.05403113432352498
307.838,0.04721307200741329
310.689,0.04161721803408936
313.538,0.037039509820855084
316.387,0.03328768870297261
319.236,0.030199984685342414
322.083,0.02764487850553058
324.929,0.02551440637456614
327.774,0.023724698813885964
330.618,0.022210409045542442
333.461,0.020920701825448147
336.303,0.019815910499074656
339.145,0.0188645860224634
341.985,0.018042759862938237
344.824,0.01733042462219465
347.663,0.01671157170359746
350.5,0.01617381573830603
353.336,0.015706450749516553
356.172,0.015300729591565164
359.006,0.014949809497902844
361.84,0.014647513069615085
364.672,0.014389106889304176
367.504,0.014170266733560116
370.335,0.013987619463440116
373.164,0.013838303646115036
375.993,0.013719782982159817
378.821,0.013630093184435489
381.648,0.013567565482473579
384.473,0.013530850052543576
387.298,0.01351883857161754
390.122,0.01353071453481347
392.945,0.013565871850196396
395.767,0.013623916954613948
398.588,0.01370465823356804
401.408,0.013808099798313777
404.227,0.01393443936029923
407.046,0.014084127407850007
409.863,0.01425765252625867
412.679,0.014455869841150647
415.494,0.014679811892861116
418.309,0.01493085170545512
421.122,0.015210362545096001
423.935,0.015520401034538497
426.746,0.01586295056407587
429.557,0.01624085850422657
432.366,0.01665692148820961
435.175,0.017115046657521185
437.983,0.017619349982998727
440.79,0.018174860846152944
443.595,0.01878731273335785
446.4,0.019464242146680303
449.204,0.020213947564433992
452.007,0.021046685118600205
454.809,0.02197491588387431
457.61,0.023013913003305908
460.41,0.0241825833949004
463.21,0.025505100811126842
466.008,0.027010546556410796
468.805,0.02873798513672654
471.602,0.03073870551358531
474.397,0.03307863657028991
477.192,0.03585124167282391
479.985,0.03918258742924519
482.778,0.04325877483500288
485.569,0.04834768923630116
488.36,0.054862371468981264
491.15,0.06342704897602976
493.939,0.07498291610239222
496.727,0.09085873560079406
499.514,0.11268354135359568
502.3,0.14192203414959065
505.085,0.17888100898277756
507.869,0.2214372462808989
510.652,0.2643770486911484
513.435,0.30047912276086014
516.216,0.32347781730401154
518.996,0.33156771675677826
521.776,0.32873557744646587
524.554,0.32290295141070635
527.332,0.32192051611980643
530.109,0.3299672562599124
532.885,0.34612910623231913
535.659,0.3653716295968963
538.433,0.3810127012766366
541.206,0.38740631932595726
543.978,0.3819734852847922
546.75,0.36580149411804574
549.52,0.3428113362352582
552.289,0.3179457793308811
555.057,0.2954040981137644
557.825,0.27755963938342276
560.591,0.2648323890270434
563.357,0.25616115739391604
566.122,0.24979107361142808
568.885,0.24391384611507397
571.648,0.23708844350678493
574.41,0.22844428698900363
577.171,0.21769297324923742
579.931,0.20504269072556056
582.69,0.19105374052502525
585.448,0.17647584980373715
588.206,0.16209223304895318
590.962,0.14862286751930506
593.717,0.13661974345803715
596.472,0.1264565120985046
599.225,0.11834522317267798
601.978,0.11234317076327047
604.73,0.10841520217317242
607.481,0.1064588639160179
610.231,0.10633626160863367
612.98,0.10789072980285083
615.728,0.11095235357245672
618.475,0.11533518525788877
621.221,0.12082998432397961
623.967,0.12719888879695607
626.711,0.13416102663640975
629.454,0.14140750958182782
632.197,0.14860311218448954
634.939,0.155395947790974
637.68,0.16144754531966765
640.419,0.1664543012802945
643.158,0.1701803571786255
645.896,0.17246889498920523
648.634,0.17326532397100783
651.37,0.17262047709963962
654.105,0.17068763908958512
656.84,0.16770511704981042
659.573,0.1639795965054149
662.306,0.15985171515162327
665.037,0.1556797436620779
667.768,0.15180444974563428
670.498,0.14854163529326336
673.227,0.1461648730902786
675.955,0.14490331684907523
678.682,0.1449444692424943
681.409,0.14644279684343453
684.134,0.14952798620420407
686.858,0.15432052824557027
689.582,0.16094496762851287
692.305,0.1695336347744038
695.026,0.18023499535753337
697.747,0.19323110102554716
700.467,0.2087095415991001
703.186,0.2268637358736957
705.905,0.24786880304626835
708.622,0.27180147597830373
711.338,0.29861485761750695
714.054,0.32802545585374604
716.768,0.3593706657042663
719.482,0.3916019271477399
722.195,0.42319952397805555
724.907,0.4523595739629429
727.618,0.4773105273858926
730.328,0.49677771122338565
733.037,0.5104203152851817
735.745,0.5190305072978152
738.453,0.5243822054540516
741.159,0.5287955477312599
743.865,0.5346669628280116
746.569,0.5441851041674698
749.273,0.5597826499838514
751.976,0.5883808678833155
754.678,0.7106231047988317
757.379,0.7205675304887619
760.08,0.6596593081367184
762.779,0.6764967308721791
765.478,0.7005320675341437
768.175,0.7243339539494922
770.872,0.7453574116129495
773.568,0.7621594800753126
776.263,0.7739900788615753
778.957,0.780856017896334
781.65,0.7838230675815046
784.342,0.7855022710565345
787.034,0.7897272707854356
789.724,0.7939049296167725
792.414,0.7737353150580925
795.103,0.7235438412552913
797.791,0.6734031106424164
800.478,0.6349981375458214
803.164,0.6088538444143032
805.849,0.5959427555814336
808.533,0.596824160868151
811.217,0.6062327982015918
813.899,0.6117926552606776
816.581,0.6045680136917192
819.262,0.5891762203579943
821.942,0.5770039894525355
824.621,0.5737907121543628
827.299,0.5780939174954148
829.977,0.5862905720368822
832.653,0.595557122292619
835.329,0.6042675506041091
838.003,0.6116416674414674
840.677,0.6174993670320847
843.35,0.6220610045584165
846.022,0.6258108915429595
848.693,0.6293551864082617
851.364,0.6332963803024749
854.033,0.6381224584895853
856.702,0.6441447478167924
859.37,0.6514485562983149
862.036,0.6598938815276202
864.702,0.6691531800935309
867.367,0.6787387686430179
870.032,0.688076453021817
872.695,0.6965497948846644
875.358,0.7035823809116086
878.019,0.7086660472712896
880.68,0.711427009248181
883.34,0.7116513163264955
885.999,0.7093318234926356
888.657,0.7047065830515127
891.314,0.6983056412891764
893.971,0.690999930089798
896.626,0.6840542679504931
899.281,0.679098859748789
901.935,0.6780108059770642
904.588,0.6825447364580106
907.24,0.6937071731465413
909.891,0.710957145091429
912.541,0.7315647068913714
915.191,0.7506332778031938
917.84,0.7621494944062703
920.487,0.7610811330981759
923.134,0.7456607813994033
925.78,0.718650891088912
928.426,0.6863970633508858
931.07,0.6554961362650499
933.714,0.6283279959418071
936.356,0.6007542572993679
938.998,0.5642329629959737
941.639,0.5119650219434762
944.279,0.4442531097659182
946.918,0.3687848987372956
949.557,0.2959317167207956
952.194,0.23352993071711614
954.831,0.184440283359578
957.466,0.1477360230325742
960.101,0.12073724830567333
962.735,0.10075025394527515
965.369,0.08566613793152811
968.001,0.07404405886876246
970.633,0.06490968506097179
973.263,0.057623426160886664
975.893,0.05173341011810483
978.522,0.046924049682754265
981.15,0.04296097982752468
983.777,0.039667710472450775
986.404,0.03690800548863692
989.029,0.03457892493445905
991.654,0.03259636988793857
994.278,0.030896377795554205
996.901,0.029427523329858745
999.523,0.02814892781826798
1002.14,0.027029602251575517
1004.77,0.026036536628551394
1007.38,0.025160984571242002
1010.0,0.02437554993323838
1012.62,0.023670249491986293
1015.24,0.023034082255172703
1017.85,0.022460152875866477
1020.47,0.021936693205617093
1023.08,0.02146162693121267
1025.7,0.021026222860295984
1028.31,0.020629548048046724
1030.92,0.020266271400548264
1033.53,0.01993332617341144
1036.14,0.019628075992050267
1038.75,0.019348239009247186
1041.36,0.019091827810793435
1043.97,0.018857101566341437
1046.58,0.0186425277026368
1049.18,0.018447466794432987
1051.79,0.018269218946629744
1054.39,0.018108087099809992
1057.0,0.017961877512722067
1059.6,0.017830860731358013
1062.2,0.017713687842968836
1064.8,0.017609676765113887
1067.4,0.01751821453728716
1070.0,0.017438750167115265
1072.6,0.017370788503776123
1075.2,0.017313884987947573
1077.8,0.017267641163886824
1080.39,0.01723181977900525
1082.99,0.017205828104491866
1085.58,0.017189587709453443
1088.18,0.017182727673778084
1090.77,0.017185089182440074
1093.36,0.017196448686993354
1095.95,0.017216658463592553
1098.54,0.017245602770374107
1101.13,0.01728319918079034
1103.72,0.017329400850810153
1106.31,0.01738419986489083
1108.9,0.017447631828454248
1111.48,0.017519486395467982
1114.07,0.01760046236241952
1116.65,0.017690141490981175
1119.24,0.01778950492075581
1121.82,0.01789816088863145
1124.4,0.018016955820124247
1126.98,0.018146495484583212
1129.56,0.01828753116316565
1132.14,0.018440982693825228
1134.72,0.018607963576803836
1137.3,0.018789807701421305
1139.87,0.01898729443789743
1142.45,0.019203811902162204
1145.03,0.019440783743793495
1147.6,0.01969964040223408
1150.17,0.019984057960304145
1152.75,0.020298468378727518
1155.32,0.020643958973953446
1157.89,0.021025558193523575
1160.46,0.02144746925956128
1163.03,0.021914196871492906
1165.6,0.02243049580501395
1168.17,0.023001300187262676
1170.74,0.023631632140784824
1173.3,0.024323654095586313
1175.87,0.025087596646980865
1178.43,0.025922006187014755
1181.0,0.026837437881158097
1183.56,0.02783012557358488
1186.12,0.028905979983794305
1188.68,0.03006646902705632
1191.24,0.031311840493443634
1193.8,0.03264094915019887
1196.36,0.034051105471758415
1198.92,0.035537954861545026
1201.48,0.03709539603364342
1204.04,0.03871554655437408
1206.59,0.04038213728386546
1209.15,0.04209695255276914
1211.7,0.04383384072099497
1214.25,0.045585392847398334
1216.81,0.047343361787567304
1219.36,0.04907812303181725
1221.91,0.050780332593353614
1224.46,0.052433784052867395
1227.01,0.05402270904831516
1229.56,0.05553220970822093
1232.1,0.05694332867401175
1234.65,0.05825531505033773
1237.2,0.05945258861700558
1239.74,0.06052373288001077
1242.29,0.061472386776267145
1244.83,0.06228912833405953
1247.37,0.062978826839305
1249.92,0.06354725337194259
1252.46,0.06399655631429921
1255.0,0.06433843982840741
1257.54,0.0645845530694589
1260.08,0.06474866089334817
1262.61,0.06484601693624371
1265.15,0.06489423617996459
1267.69,0.06491067143379191
1270.22,0.06491370524280192
1272.76,0.06492180903482221
1275.29,0.06495298964822305
1277.83,0.06502501302091926
1280.36,0.0651537754720205
1282.89,0.06535464700950833
1285.42,0.06564136014246562
1287.95,0.06602604308803436
1290.48,0.06651911682086756
1293.01,0.06712924576232043
1295.54,0.06786333752545641
1298.06,0.06872291402105256
1300.59,0.06971834575655601
1303.11,0.07084377803997177
1305.64,0.07210876728030656
1308.16,0.07350267369996531
1310.69,0.0750347844301527
1313.21,0.07669022484078972
1315.73,0.07847116123910576
1318.25,0.0803731926846358
1320.77,0.08239122874424357
1323.29,0.08451954950111963
1325.81,0.08675184220665631
1328.32,0.08907178881653781
1330.84,0.0914904201403517
1333.36,0.09399058572189546
1335.87,0.09655318552253085
1338.38,0.09917861977682657
1340.9,0.10186750932674186
1343.41,0.10458749399022248
1345.92,0.1073372560403077
1348.43,0.11010394744254867
1350.94,0.11287372600999203
1353.45,0.11563174289849254
1355.96,0.11836216029976032
1358.47,0.12104820541377735
1360.98,0.12367226593172748
1363.48,0.12620608051110765
1365.99,0.12865116211936137
1368.49,0.13096909887798847
1371.0,0.13315941147982582
1373.5,0.1351860508258993
1376.0,0.13704016650506448
1378.5,0.1387049377075435
1381.0,0.1401649604727289
1383.5,0.14140661668650198
1386.0,0.14241841983363515
1388.5,0.1431913213629364
1391.0,0.14371896254519823
1393.5,0.1439978588470748
1395.99,0.1440278825891799
1398.49,0.1438117625638259
1400.98,0.14335661568148717
1403.48,0.14266699127358295
1405.97,0.14175912815568253
1408.46,0.14064368944460298
1410.95,0.13933558978696092
1413.44,0.13785134018883397
1415.93,0.13620867583119908
