Raman Shift (cm-1),Processed Intensity
172.736,0.21622724040360766
175.633,0.1844448899333953
178.529,0.28515296799804496
181.425,0.09475065550534469
184.319,0.20801473495298006
187.212,0.2108103616590028
190.105,0.18596604899264593
192.996,0.1681887669279774
195.886,0.3089353131527533
198.775,0.18775919120653645
201.664,0.11467213172965404
204.551,0.23166216500463044
207.437,0.26895038784221503
210.323,0.15396555405068055
213.207,0.19592787521665553
216.09,0.24180536770016733
218.973,0.18195170003949754
221.854,0.2183061449859705
224.735,0.19704868118118857
227.614,0.13789869896012702
230.492,0.1773250558666092
233.37,0.2317127763167191
236.246,0.25767483399898766
239.122,0.19841728947246315
241.996,0.17384112282745262
244.87,0.3164717454847456
247.742,0.2113828850171276
250.614,0.1575432112780249
253.484,0.18177172943649195
256.354,0.20676477794316153
259.222,0.12050716991359613
262.09,0.09733223018000468
264.956,0.09621957205997957
267.822,0.13294749135379397
270.687,0.14204256668386162
273.55,0.10220593114585352
276.413,0.11756487426495774
279.275,0.1250124837609887
282.135,0.22157452854768134
284.995,0.08540961167158023
287.854,0.17009501114639222
290.711,0.2239932973650036
293.568,0.08855099625640414
296.424,0.18263684615006687
299.279,0.12603462845029328
302.133,0.09702032877763633
304.986,0.1728995879394338
307.838,0.16829738788443105
310.689,0.21179336673087873
313.538,0.20951629286826612
316.387,0.15752339554870334
319.236,0.09998938989041466
322.083,0.23569870298176174
324.929,0.09529778971092666
327.774,0.15129650334505101
330.618,0.15442451263762216
333.461,0.2711253158636779
336.303,0.09988423286973568
339.145,0.1558084941206735
341.985,0.11153245831790108
344.824,0.18240765372274764
347.663,0.15781694955143305
350.5,0.15371764486729206
353.336,0.11252578594661417
356.172,0.13757887621574572
359.006,0.18470159189595092
361.84,0.21050938415721535
364.672,0.1069316536159665
367.504,0.17924703785996765
370.335,0.18055119332836347
373.164,0.11005500670210838
375.993,0.21308593473509888
378.821,0.2056645971953683
381.648,0.1840285154545377
384.473,0.12766781986459125
387.298,0.21170397433338298
390.122,0.14821345862821853
392.945,0.20539890070921688
395.767,0.17737561562482768
398.588,0.04994480097146504
401.408,0.19780123697944407
404.227,0.23205148729933403
407.046,0.15900673427876932
409.863,0.29104333510346386
412.679,0.24005707319128713
415.494,0.15277061813079565
418.309,0.18616180839670043
421.122,0.19350750686984908
423.935,0.1558766456189363
426.746,0.04802604603087372
429.557,0.20363198563663737
432.366,0.2961179350696159
435.175,0.17797336181309606
