Raman Shift (cm-1),Fitted Intensity
172.736,0.09728328824731049
175.633,0.10530567864691241
178.529,0.11489782726973118
181.425,0.12693116158998338
184.319,0.14256322897475962
187.212,0.16264338446506407
190.105,0.18625396238502584
192.996,0.20930258522506798
195.886,0.22547257133146936
198.775,0.23012517422469975
201.664,0.2239820994844335
204.551,0.21246378547883105
207.437,0.20144418121768953
210.323,0.19399199888279076
213.207,0.1902947497493561
216.09,0.18921727000010535
218.973,0.18956088631767634
221.854,0.19048155367387473
224.735,0.19146642370938324
227.614,0.1922128945009167
230.492,0.19254155289434804
233.37,0.19234425541262645
236.246,0.19155859973781098
239.122,0.19015288042930442
241.996,0.18812031396547874
244.87,0.18547010460290672
247.742,0.18222958331635739
250.614,0.1784341261532744
253.484,0.17413376116807905
256.354,0.169380515795241
259.222,0.16423828534289409
262.09,0.1587677549282547
264.956,0.1530388256779241
267.822,0.14711378253231958
270.687,0.14105953161495918
273.55,0.13494047903898745
276.413,0.12881078732657722
279.275,0.12272632553063323
282.135,0.11673751331336361
284.995,0.11088264773263765
287.854,0.10520024376478213
290.711,0.09972243460331372
293.568,0.09446960385295416
296.424,0.08946216561834146
299.279,0.08471319356409115
302.133,0.08023084278557197
304.986,0.0760188777468075
307.838,0.07207723448126714
310.689,0.06840259400158563
313.538,0.06499010031365048
316.387,0.061829201657271626
319.236,0.058910353068135704
322.083,0.05622460702538898
324.929,0.05375912185531181
327.774,0.05150169364031437
330.618,0.049439989208811354
333.461,0.04756179366763857
336.303,0.045855209465639174
339.145,0.04430829390774727
341.985,0.042911295732189984
344.824,0.04165347735776758
347.663,0.04052502214153409
350.5,0.03951803785387953
353.336,0.03862418945925601
356.172,0.037836070497283096
359.006,0.03714784775380392
361.84,0.03655338812987818
364.672,0.03604819322687509
367.504,0.035627697225834996
370.335,0.03528858377355168
373.164,0.035028118911703626
375.993,0.03484401565951912
378.821,0.03473501777844349
381.648,0.0347005694350789
384.473,0.03474100847856993
387.298,0.03485784748818779
390.122,0.03505402708168638
392.945,0.03533453775087437
395.767,0.03570749140613887
398.588,0.03618617038640138
401.408,0.03679321609840952
404.227,0.037569966592493474
407.046,0.03860018223284294
409.863,0.04007625623549368
412.679,0.042546795383384524
415.494,0.0481894098160071
418.309,0.07237057831207608
421.122,0.15744248044201392
423.935,0.09897108699931359
426.746,0.056656669121950165
429.557,0.05045519687598253
432.366,0.04971550182462074
435.175,0.050470537325530695
437.983,0.05190140632068538
440.79,0.05376388372949736
443.595,0.05597572160464703
446.4,0.05851761277675554
449.204,0.06139590328460876
452.007,0.0646335750855754
454.809,0.06826467304291493
457.61,0.07233238203391017
460.41,0.0768884433404498
463.21,0.08199521966319377
466.008,0.08771884735063146
468.805,0.09414129668663099
471.602,0.10135792087435386
474.397,0.10947167117211795
477.192,0.11861711244020742
479.985,0.12894542857350327
482.778,0.14066430139872335
485.569,0.1540276035408598
488.36,0.169393374816502
491.15,0.1872098668707171
493.939,0.20802008502185648
496.727,0.23236679187059003
499.514,0.2605773560510335
502.3,0.29241786233216416
505.085,0.32671368121322913
507.869,0.3611571764738567
510.652,0.392554900551751
513.435,0.417607269251898
516.216,0.4339282219816465
518.996,0.4409253798859859
521.776,0.43989609963361265
524.554,0.4334179832446146
527.332,0.4243211179102353
530.109,0.41481390960203474
532.885,0.40607033149531807
535.659,0.3983186463635318
538.433,0.3911818548799124
541.206,0.38406710998606675
543.978,0.3764117497385418
546.75,0.36780430815408205
549.52,0.3580228916707317
552.289,0.3469950235945535
555.057,0.3347734135003854
557.825,0.321492761876926
560.591,0.30735964369160845
563.357,0.29259431997733715
566.122,0.27744674685022097
568.885,0.26216694863879125
571.648,0.2469763319355501
574.41,0.23209262720185286
577.171,0.2177021887537484
579.931,0.20396257828580927
582.69,0.19100196835828495
585.448,0.17892062350044352
588.206,0.16779036809787065
590.962,0.15767539004695108
593.717,0.14861465588529235
596.472,0.14064417348100405
599.225,0.13381439325929134
601.978,0.1281833894078462
604.73,0.12384842237585096
607.481,0.12094558482677566
610.231,0.11965079876182964
612.98,0.12015295834505593
615.728,0.1225880402485909
618.475,0.12693186800481265
621.221,0.13287697363720072
623.967,0.13975705068013913
626.711,0.1465822516056034
629.454,0.15227505737513547
632.197,0.15602954316508635
634.939,0.15771676695391218
637.68,0.15820164864389794
640.419,0.1594476395338593
643.158,0.16429588074236098
645.896,0.17558673151512894
648.634,0.1942455004329299
651.37,0.21683043252368406
654.105,0.23510228679765005
656.84,0.2399125845009783
659.573,0.2276094911106074
662.306,0.20286067933643664
665.037,0.1749138073601128
667.768,0.1513476946426662
670.498,0.1351806838337198
673.227,0.1258959726599652
675.955,0.12174703581669016
678.682,0.12118017173659618
681.409,0.12321272542832076
684.134,0.12733475261811897
686.858,0.1333474157744819
689.582,0.14124653824113403
692.305,0.15114541929495753
695.026,0.16323257713288625
697.747,0.177751090270341
700.467,0.19493119571543976
703.186,0.21495793928893236
705.905,0.23791921044424677
708.622,0.26371252282383023
711.338,0.2920477446538597
714.054,0.3224034794428717
716.768,0.35400747221281587
719.482,0.3859834023487027
722.195,0.4173857539874256
724.907,0.44739273279125086
727.618,0.4754425656102696
730.328,0.5013446080456228
733.037,0.5253166629603062
735.745,0.5479223004483945
738.453,0.5699101628131751
741.159,0.5919285370710375
743.865,0.6143011092918771
746.569,0.6367484147540682
749.273,0.6584321515446027
751.976,0.678169023755495
754.678,0.6950171046250141
757.379,0.7088956745179316
760.08,0.7209461743948091
762.779,0.7333162293445991
765.478,0.7484037546504513
768.175,0.7811725516937812
770.872,0.9380091886396059
773.568,0.819643665108676
776.263,0.8245416041905694
778.957,0.821325154923911
781.65,0.7969154527816458
784.342,0.7528542467034516
787.034,0.6966395391648278
789.724,0.6387780251991915
792.414,0.5907539024135444
795.103,0.5674762482893114
797.791,0.579383074110807
800.478,0.5472465521422017
803.164,0.470094441544064
805.849,0.42935379013106134
808.533,0.4169165398706023
811.217,0.42107104617185853
813.899,0.43484318236484953
816.581,0.45244191028757413
819.262,0.4684361640319854
821.942,0.4785095713571043
824.621,0.4806012460465392
827.299,0.47558458214660093
829.977,0.46694689365522546
832.653,0.4595091082008371
835.329,0.4576464893271149
838.003,0.463778113842855
840.677,0.4776002835564348
843.35,0.49625535238805357
846.022,0.5153209024693332
848.693,0.5302317321387574
851.364,0.5376661347705564
854.033,0.5364310599238122
856.702,0.5276044364269182
859.37,0.5139272819507044
862.036,0.49878706239784787
864.702,0.48518502478572567
867.367,0.47511834480229875
870.032,0.4693707148849336
872.695,0.46771438791207925
875.358,0.4692674682261701
878.019,0.4728722256614799
880.68,0.4773747875704931
883.34,0.48178068922423756
885.999,0.4853350930661099
888.657,0.48754670684913937
891.314,0.48819248193380754
893.971,0.4873164203823571
896.626,0.48522505542224875
899.281,0.4824561689683689
901.935,0.47970495515737094
904.588,0.4776602442734161
907.24,0.47674811217073404
