Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,210.34370206039367,47.66657246534501,11.34449956010424,0.19999999999999998
2,voigt,250.37887950131127,79.9430459193749,19.45663746507461,0.19999999999999998
3,voigt,259.26778600269733,124.56330970750642,28.714777327032465,0.19999999999999998
4,voigt,467.55944799987395,119.66627498296873,11.922083639387452,0.07688890503033718
5,voigt,523.9085909133603,94.44670711023261,49.71149676268066,0.39999432097916465
6,voigt,671.5292848009489,42.57628726429192,4.144162116410004,0.07231243441726058
7,lorentz,763.0539950570392,23.869463025169715,7.705445819653592,0.20431784408374895
8,lorentz,782.4080277119111,20.31799809284941,7.136045525556497,0.21978262372983337
9,lorentz,874.2970721678205,199.98041036123828,121.89285318675854,0.38802023414844633
10,gauss,751.7436884576131,105.1024361873918,57.15713237040569,0.5108585989680693
11,voigt,840.7907715864249,20.148449462249,4.140590727436012,0.15141656389902672
12,voigt,918.2115693746526,25.011873226521274,5.986407469578132,0.17651187614052663
13,voigt,938.2239797546168,26.832728428604547,8.696814703252809,0.23956939516731668
14,gauss,867.4137895388147,24.28004327813627,3.7544693947751666,0.14509424532799195
15,voigt,895.1068368548638,26.73435777664104,5.381362422047049,0.14812637481669821
16,gauss,1338.6261301457146,235.47999999662198,67.3639070588481,0.2687430146032586
17,lorentz,1553.9857876795863,199.99997115127246,61.28067744779523,0.1950501550953648
18,lorentz,1427.1257333867704,143.39577553525527,45.049111497736895,0.19997668961667553
