#Wave;#Intensity
1573.355469;5041.047949
1571.734375;5051.3521
1570.113281;5065.263917
1568.492188;5079.169921
1566.871094;5027.562012
1565.248047;5097.680616
1563.626953;5127.553319
1562.003906;5124.937892
1560.380859;5134.17666
1558.757812;5226.884961
1557.132812;5216.522021
1555.509766;5283.421241
1553.884766;5315.790771
1552.259766;5281.732082
1550.634766;5397.98916
1549.009766;5459.132518
1547.382812;5480.632227
1545.757812;5604.490185
1544.130859;5680.465819
1542.503906;5654.598975
1540.876953;5661.130031
1539.25;5721.626026
1537.621094;5715.29287
1535.994141;5747.494239
1534.365234;5828.479591
1532.736328;5879.131836
1531.107422;5864.040819
1529.476562;5937.250295
1527.847656;5908.295995
1526.216797;5942.466796
1524.585938;5991.500977
1522.955078;6008.201171
1521.324219;6047.457227
1519.693359;6088.747658
1518.060547;6133.607813
1516.429688;6235.334081
1514.796875;6186.893262
1513.164062;6208.139357
1511.529297;6204.793165
1509.896484;6117.471581
1508.261719;5939.060449
1506.628906;5806.788477
1504.994141;5736.490431
1503.359375;5588.455471
1501.722656;5482.425977
1500.087891;5305.866017
1498.451172;5217.834864
1496.814453;5119.105471
1495.177734;5087.880273
1493.541016;4993.306105
1491.904297;4893.1521
1490.265625;4927.881739
1488.628906;4805.31338
1486.990234;4855.873684
1485.351562;4885.994533
1483.710938;4825.262012
1482.072266;4921.196193
1480.431641;4816.100146
1478.792969;4802.851417
1477.152344;4898.729199
1475.511719;4850.801074
1473.869141;4808.499609
1472.228516;4734.620898
1470.585938;4731.591211
1468.945312;4601.727197
1467.302734;4513.168653
1465.658203;4467.925683
1464.015625;4449.681593
1462.373047;4402.943262
1460.728516;4445.272412
1459.083984;4368.030079
1457.439453;4444.426809
1455.794922;4420.102831
1454.148438;4456.29092
1452.503906;4393.850783
1450.857422;4401.569239
1449.210938;4474.320704
1447.564453;4416.995216
1445.917969;4454.160158
1444.269531;4386.199318
1442.623047;4353.295898
1440.974609;4383.343944
1439.326172;4437.737843
1437.677734;4402.306496
1436.027344;4438.919093
1434.378906;4427.844873
1432.728516;4409.67666
1431.078125;4457.416114
1429.427734;4407.825832
1427.777344;4398.286281
1426.126953;4474.874072
1424.474609;4444.051171
1422.822266;4471.98247
1421.169922;4374.848583
1419.517578;4372.917434
1417.865234;4428.679542
1416.210938;4408.522755
1414.558594;4443.512843
1412.904297;4386.440282
1411.25;4407.261866
1409.595703;4378.025246
1407.939453;4390.752394
1406.285156;4417.623095
1404.628906;4389.917725
1402.972656;4422.333059
1401.316406;4415.34331
1399.660156;4383.110841
1398.003906;4408.439014
1396.345703;4382.27754
1394.6875;4396.493556
1393.029297;4404.145361
1391.371094;4313.944481
1389.712891;4313.541505
1388.052734;4320.700783
1386.394531;4357.596387
1384.734375;4284.614208
1383.074219;4329.059081
1381.412109;4332.68213
1379.751953;4279.896044
1378.091797;4305.682227
1376.429688;4279.605176
1374.767578;4249.512012
1373.105469;4344.73081
1371.441406;4264.828614
1369.779297;4250.852883
1368.115234;4259.009864
1366.453125;4257.610546
1364.789062;4249.676417
1363.123047;4210.585449
1361.458984;4271.000097
1359.792969;4190.727051
1358.128906;4190.34629
1356.462891;4230.640383
1354.796875;4228.744776
1353.128906;4190.710304
1351.462891;4166.742822
1349.794922;4198.978711
1348.128906;4114.322461
1346.460938;4187.680273
1344.791016;4195.822901
1343.123047;4172.379736
1341.455078;4120.377394
1339.785156;4132.036083
1338.115234;4154.711232
1336.445312;4130.293605
1334.775391;4139.438037
1333.103516;4152.583887
1331.433594;4140.195119
1329.761719;4087.774072
1328.089844;4133.44497
1326.417969;4068.54048
1324.744141;4120.697658
1323.072266;4095.326074
1321.398438;4054.466994
1319.724609;4109.592333
1318.050781;4073.244287
1316.376953;4071.884961
1314.703125;4076.020704
1313.027344;4076.658156
1311.351562;4067.309327
1309.675781;4107.883693
1306.324219;4052.258644
1304.646484;4039.928319
1302.970703;4064.512403
1301.292969;4046.699318
1299.615234;4069.276708
1297.9375;4009.100295
1296.257812;4041.643116
1294.580078;4010.894045
1292.900391;4019.511083
1291.220703;4042.567333
1289.541016;3987.936232
1287.859375;4008.001757
1286.179688;4045.976757
1284.498047;4019.245507
1282.816406;4101.479785
1281.134766;4109.068359
1279.453125;4134.059181
1277.771484;4161.524952
1276.087891;4248.132518
1274.404297;4247.233935
1272.720703;4232.919824
1271.037109;4161.978856
1269.353516;4057.294336
1267.667969;4041.538869
1265.984375;4015.364063
1264.298828;3995.65298
1262.613281;3978.430859
1260.927734;3979.077197
1259.240234;3938.055762
